Model,Category,Task,UT Steps,Accuracy
Ouro-1.4B-Thinking,Main Tasks,igsm,4,19.0
Ouro-1.4B-Thinking,Main Tasks,n_ary,4,2.6
Ouro-1.4B-Thinking,Main Tasks,p_hop,4,19.67
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_code,4,35.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_equation,4,39.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_0_math,4,27.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_code,4,32.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_equation,4,35.0
Ouro-1.4B-Thinking,Reasoning Primitives,var_assign_depth_1_math,4,36.0
